id,actionType
Nzk5NjgyNTIzMTkxX2VkZGJkZThjLWIzMTctNDFmNC04NmFiLTY2YjUyNzIwY2FmNQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzNjYmEwOTZkLTlkYzctNDU0Yi1hY2JjLWMyNWY2NWNiZmY1OQ==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzYzYzVjYmU5LTU1ODUtNGE3Yy1iMGVkLTc0ODZhNjcyNGQyZQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzZmYjdiYTQ2LWEyNzUtNDNkZC1hMWU2LTQ3YTY4M2U2OTM4NA==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzhmMGFmYmZhLTdmYzItNDRlZS1iYzlmLTNjMDE4YmQyYmQ4ZA==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzA2YWRjYTJjLTEzYWMtNDgwNC1iNDA4LTQ2ZTIwNTJjNzYzNw==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxX2JkNTBjOTEzLTY0ZmQtNGRiNi1hOTViLTE5NjUwMDY3MDU0Mw==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2I2MTI3MmJlLTM2NzUtNDI0ZS1iMTlhLTVjOTVhNTE4YjQzZQ==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzM4YmVjNjY5LTc0YWEtNDcxMi05NzljLTVkZDA1ZjgwNmQ2NQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5XzQ0ODkzYTdkLTgwN2EtNGIwNC1hNTdkLThlNTM3YTU0ZDc5MQ==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzU1YjA4YWRlLWFlZWMtNDYwNy04MjIwLTk2ZjMzYTQwOWJmNQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2MyMDkyMzM3LTdmZmMtNDZkMS04N2E2LWQ5NTY2M2U2MzMwZA==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzgxM2UyYTA3LTM2NmEtNGY4Yi1hZDI2LWNjMDYxNWZkMTc4OQ==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2M4YThjMmNhLTBiNjYtNDNhZi04NTBmLWVlZmIxMWU2M2M4YQ==,PurchaseReservedInstances
Nzk5NjgyNTIzMTkxXzkwN2YzMTNlLWRjODAtNDc0OC04MWYyLTdlYTNiNTNjN2QzZg==,PurchaseReservedInstances
NDc2NDYzNTYxNzA5X2Y1MWY0OWY1LTY3ZGQtNGU0NS1iNGM5LWE3NDdiMDkxMjhjOQ==,PurchaseReservedInstances
