"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Transfer Type","usageType","operation","Normalization Size Factor","Region Code","serviceName","SSD"
"22G6WT9AD6KGUJNQ","38NPMPTW36","22G6WT9AD6KGUJNQ.38NPMPTW36.6YS6EN2CT7","Reserved","Redis, cache.r6gd.xlarge reserved instance applied","2021-11-01","0","Inf","Hrs","0.2260000000","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"22G6WT9AD6KGUJNQ","38NPMPTW36","22G6WT9AD6KGUJNQ.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2021-11-01",,,"Quantity","5890.91","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"22G6WT9AD6KGUJNQ","4NA7Y494T4","22G6WT9AD6KGUJNQ.4NA7Y494T4.6YS6EN2CT7","Reserved","Redis, cache.r6gd.xlarge reserved instance applied","2021-11-01","0","Inf","Hrs","0.6370000000","USD","1yr","No Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"22G6WT9AD6KGUJNQ","6QCMYABX3D","22G6WT9AD6KGUJNQ.6QCMYABX3D.6YS6EN2CT7","Reserved","Redis, cache.r6gd.xlarge reserved instance applied","2021-11-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"22G6WT9AD6KGUJNQ","6QCMYABX3D","22G6WT9AD6KGUJNQ.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2021-11-01",,,"Quantity","5250.32","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"22G6WT9AD6KGUJNQ","BPH4J8HBKS","22G6WT9AD6KGUJNQ.BPH4J8HBKS.6YS6EN2CT7","Reserved","Redis, cache.r6gd.xlarge reserved instance applied","2021-11-01","0","Inf","Hrs","0.4870000000","USD","3yr","No Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"22G6WT9AD6KGUJNQ","HU7G6KETJZ","22G6WT9AD6KGUJNQ.HU7G6KETJZ.6YS6EN2CT7","Reserved","Redis, cache.r6gd.xlarge reserved instance applied","2021-11-01","0","Inf","Hrs","0.3040000000","USD","1yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"22G6WT9AD6KGUJNQ","HU7G6KETJZ","22G6WT9AD6KGUJNQ.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2021-11-01",,,"Quantity","2678.75","USD","1yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"22G6WT9AD6KGUJNQ","JRTCKXETXF","22G6WT9AD6KGUJNQ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.937 per cache.r6gd.xlarge node-hour running Redis with data tiering (APS1)","2024-10-01","0","Inf","Hrs","0.9370000000","USD",,,,"Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"22G6WT9AD6KGUJNQ","NQ3QZPMQV9","22G6WT9AD6KGUJNQ.NQ3QZPMQV9.6YS6EN2CT7","Reserved","Redis, cache.r6gd.xlarge reserved instance applied","2021-11-01","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"22G6WT9AD6KGUJNQ","NQ3QZPMQV9","22G6WT9AD6KGUJNQ.NQ3QZPMQV9.2TG2D8R56U","Reserved","Upfront Fee","2021-11-01",,,"Quantity","11074.89","USD","3yr","All Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r6gd.xlarge","Yes","Memory optimized","4","26.32 GiB","Up to 10 Gigabit","Redis",,,"APS1-NodeUsage:cache.r6gd.xlarge","CreateCacheCluster:0002","8","ap-southeast-1","Amazon ElastiCache","99.33 GiB"
"235JYGG6PNHPFY2U","JRTCKXETXF","235JYGG6PNHPFY2U.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.151 per GB-hour for Memcached data storage","2024-10-01","0","Inf","GB-Hours","0.1510000000","USD",,,,"ElastiCache Serverless","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region",,,,,,,"Memcached",,,"APS1-CachedData:Memcached","CreateServerlessCache",,"ap-southeast-1","Amazon ElastiCache",
"28FCHH7YG6FNT2EZ","38NPMPTW36","28FCHH7YG6FNT2EZ.38NPMPTW36.6YS6EN2CT7","Reserved","ElastiCache, cache.r7g.12xlarge reserved instance applied","2024-06-01","0","Inf","Hrs","1.5070000000","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r7g.12xlarge","Yes","Memory optimized","48","317.77 GiB","22.5 Gigabit","Memcached",,,"APS1-NodeUsage:cache.r7g.12xlarge","CreateCacheCluster:0001","96","ap-southeast-1","Amazon ElastiCache",
"28FCHH7YG6FNT2EZ","38NPMPTW36","28FCHH7YG6FNT2EZ.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2024-06-01",,,"Quantity","39602.909","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r7g.12xlarge","Yes","Memory optimized","48","317.77 GiB","22.5 Gigabit","Memcached",,,"APS1-NodeUsage:cache.r7g.12xlarge","CreateCacheCluster:0001","96","ap-southeast-1","Amazon ElastiCache",
"28FCHH7YG6FNT2EZ","4NA7Y494T4","28FCHH7YG6FNT2EZ.4NA7Y494T4.6YS6EN2CT7","Reserved","ElastiCache, cache.r7g.12xlarge reserved instance applied","2024-06-01","0","Inf","Hrs","4.2700000000","USD","1yr","No Upfront","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r7g.12xlarge","Yes","Memory optimized","48","317.77 GiB","22.5 Gigabit","Memcached",,,"APS1-NodeUsage:cache.r7g.12xlarge","CreateCacheCluster:0001","96","ap-southeast-1","Amazon ElastiCache",
