"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Transfer Type","usageType","operation","Normalization Size Factor","Region Code","serviceName","SSD"
"23RK87WA643CDXAD","JRTCKXETXF","23RK87WA643CDXAD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.311 per Gen Purpose M4.xlarge node hour running Redis","2024-10-01","0","Inf","Hrs","0.3110000000","USD",,,,"Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m4.xlarge","Yes","Standard","4","14.28 GiB","High","Redis",,,"NodeUsage:cache.m4.xlarge","CreateCacheCluster:0002","8","us-east-1","Amazon ElastiCache",
"23RK87WA643CDXAD","VG8YD49WWM","23RK87WA643CDXAD.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.m4.xlarge reserved instance applied","2016-09-30","0","Inf","Hrs","0.0770000000","USD","3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m4.xlarge","Yes","Standard","4","14.28 GiB","High","Redis",,,"NodeUsage:cache.m4.xlarge","CreateCacheCluster:0002","8","us-east-1","Amazon ElastiCache",
"23RK87WA643CDXAD","VG8YD49WWM","23RK87WA643CDXAD.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","1248","USD","3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m4.xlarge","Yes","Standard","4","14.28 GiB","High","Redis",,,"NodeUsage:cache.m4.xlarge","CreateCacheCluster:0002","8","us-east-1","Amazon ElastiCache",
"23RK87WA643CDXAD","YTVHEVGPBZ","23RK87WA643CDXAD.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.m4.xlarge reserved instance applied","2016-09-30","0","Inf","Hrs","0.1120000000","USD","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m4.xlarge","Yes","Standard","4","14.28 GiB","High","Redis",,,"NodeUsage:cache.m4.xlarge","CreateCacheCluster:0002","8","us-east-1","Amazon ElastiCache",
"23RK87WA643CDXAD","YTVHEVGPBZ","23RK87WA643CDXAD.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","616","USD","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m4.xlarge","Yes","Standard","4","14.28 GiB","High","Redis",,,"NodeUsage:cache.m4.xlarge","CreateCacheCluster:0002","8","us-east-1","Amazon ElastiCache",
"26VAXDN66QQEJBKX","38NPMPTW36","26VAXDN66QQEJBKX.38NPMPTW36.6YS6EN2CT7","Reserved","Redis, cache.m7g.4xlarge reserved instance applied","2023-07-01","0","Inf","Hrs","0.3020000000","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m7g.4xlarge","Yes","Standard","16","52.26 GiB","Up to 15 Gigabit","Redis",,,"NodeUsage:cache.m7g.4xlarge","CreateCacheCluster:0002","32","us-east-1","Amazon ElastiCache",
"26VAXDN66QQEJBKX","38NPMPTW36","26VAXDN66QQEJBKX.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2023-07-01",,,"Quantity","7928.15","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m7g.4xlarge","Yes","Standard","16","52.26 GiB","Up to 15 Gigabit","Redis",,,"NodeUsage:cache.m7g.4xlarge","CreateCacheCluster:0002","32","us-east-1","Amazon ElastiCache",
"26VAXDN66QQEJBKX","4NA7Y494T4","26VAXDN66QQEJBKX.4NA7Y494T4.6YS6EN2CT7","Reserved","Redis, cache.m7g.4xlarge reserved instance applied","2023-07-01","0","Inf","Hrs","0.8550000000","USD","1yr","No Upfront","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m7g.4xlarge","Yes","Standard","16","52.26 GiB","Up to 15 Gigabit","Redis",,,"NodeUsage:cache.m7g.4xlarge","CreateCacheCluster:0002","32","us-east-1","Amazon ElastiCache",
"26VAXDN66QQEJBKX","6QCMYABX3D","26VAXDN66QQEJBKX.6QCMYABX3D.6YS6EN2CT7","Reserved","Redis, cache.m7g.4xlarge reserved instance applied","2023-07-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m7g.4xlarge","Yes","Standard","16","52.26 GiB","Up to 15 Gigabit","Redis",,,"NodeUsage:cache.m7g.4xlarge","CreateCacheCluster:0002","32","us-east-1","Amazon ElastiCache",
"26VAXDN66QQEJBKX","6QCMYABX3D","26VAXDN66QQEJBKX.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2023-07-01",,,"Quantity","7047.245","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m7g.4xlarge","Yes","Standard","16","52.26 GiB","Up to 15 Gigabit","Redis",,,"NodeUsage:cache.m7g.4xlarge","CreateCacheCluster:0002","32","us-east-1","Amazon ElastiCache",
