"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Transfer Type","usageType","operation","Normalization Size Factor","Region Code","serviceName","SSD"
"29SQMYXND8683TTE","38NPMPTW36","29SQMYXND8683TTE.38NPMPTW36.6YS6EN2CT7","Reserved","ElastiCache, cache.r6g.large reserved instance applied","2020-09-01","0","Inf","Hrs","0.0500000000","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"29SQMYXND8683TTE","38NPMPTW36","29SQMYXND8683TTE.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2020-09-01",,,"Quantity","1295","USD","3yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"29SQMYXND8683TTE","4NA7Y494T4","29SQMYXND8683TTE.4NA7Y494T4.6YS6EN2CT7","Reserved","ElastiCache, cache.r6g.large reserved instance applied","2020-09-01","0","Inf","Hrs","0.1410000000","USD","1yr","No Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"29SQMYXND8683TTE","6QCMYABX3D","29SQMYXND8683TTE.6QCMYABX3D.6YS6EN2CT7","Reserved","ElastiCache, cache.r6g.large reserved instance applied","2020-09-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"29SQMYXND8683TTE","6QCMYABX3D","29SQMYXND8683TTE.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2020-09-01",,,"Quantity","1146","USD","1yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"29SQMYXND8683TTE","BPH4J8HBKS","29SQMYXND8683TTE.BPH4J8HBKS.6YS6EN2CT7","Reserved","ElastiCache, cache.r6g.large reserved instance applied","2020-09-01","0","Inf","Hrs","0.1070000000","USD","3yr","No Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"29SQMYXND8683TTE","HU7G6KETJZ","29SQMYXND8683TTE.HU7G6KETJZ.6YS6EN2CT7","Reserved","ElastiCache, cache.r6g.large reserved instance applied","2020-09-01","0","Inf","Hrs","0.0670000000","USD","1yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"29SQMYXND8683TTE","HU7G6KETJZ","29SQMYXND8683TTE.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2020-09-01",,,"Quantity","585","USD","1yr","Partial Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"29SQMYXND8683TTE","JRTCKXETXF","29SQMYXND8683TTE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.206 per Memory optimized r6g.large node hour running Memcached","2024-10-01","0","Inf","Hrs","0.2060000000","USD",,,,"Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
"29SQMYXND8683TTE","NQ3QZPMQV9","29SQMYXND8683TTE.NQ3QZPMQV9.6YS6EN2CT7","Reserved","ElastiCache, cache.r6g.large reserved instance applied","2020-09-01","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.r6g.large","Yes","Memory optimized","2","13.07 GiB","Up to 10 Gigabit","Memcached",,,"USW2-NodeUsage:cache.r6g.large","CreateCacheCluster:0001","4","us-west-2","Amazon ElastiCache",
