"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Storage","Storage Media","usageType","operation","Compute type","ECU","Memory (GiB)","Region Code","serviceName"
"2CXPSQF7EX3BCJ8F","38NPMPTW36","2CXPSQF7EX3BCJ8F.38NPMPTW36.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r6g.4xlarge.search reserved instance applied","2021-09-01","0","Inf","Hrs","0.4040000000","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","Asia Pacific (Singapore)","AWS Region","r6g.4xlarge.search","Yes","Memory optimized","16","EBS Only",,"APS1-ESInstance:r6g.4xlarge","ESDomain",,"variable","128","ap-southeast-1","Amazon OpenSearch Service"
"2CXPSQF7EX3BCJ8F","38NPMPTW36","2CXPSQF7EX3BCJ8F.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2021-09-01",,,"Quantity","10610.55","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","Asia Pacific (Singapore)","AWS Region","r6g.4xlarge.search","Yes","Memory optimized","16","EBS Only",,"APS1-ESInstance:r6g.4xlarge","ESDomain",,"variable","128","ap-southeast-1","Amazon OpenSearch Service"
"2CXPSQF7EX3BCJ8F","4NA7Y494T4","2CXPSQF7EX3BCJ8F.4NA7Y494T4.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r6g.4xlarge.search reserved instance applied","2021-09-01","0","Inf","Hrs","1.1140000000","USD","1yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","Asia Pacific (Singapore)","AWS Region","r6g.4xlarge.search","Yes","Memory optimized","16","EBS Only",,"APS1-ESInstance:r6g.4xlarge","ESDomain",,"variable","128","ap-southeast-1","Amazon OpenSearch Service"
"2CXPSQF7EX3BCJ8F","6QCMYABX3D","2CXPSQF7EX3BCJ8F.6QCMYABX3D.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r6g.4xlarge.search reserved instance applied","2021-09-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","Asia Pacific (Singapore)","AWS Region","r6g.4xlarge.search","Yes","Memory optimized","16","EBS Only",,"APS1-ESInstance:r6g.4xlarge","ESDomain",,"variable","128","ap-southeast-1","Amazon OpenSearch Service"
"2CXPSQF7EX3BCJ8F","6QCMYABX3D","2CXPSQF7EX3BCJ8F.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2021-09-01",,,"Quantity","9195.81","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","Asia Pacific (Singapore)","AWS Region","r6g.4xlarge.search","Yes","Memory optimized","16","EBS Only",,"APS1-ESInstance:r6g.4xlarge","ESDomain",,"variable","128","ap-southeast-1","Amazon OpenSearch Service"
"2CXPSQF7EX3BCJ8F","BPH4J8HBKS","2CXPSQF7EX3BCJ8F.BPH4J8HBKS.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r6g.4xlarge.search reserved instance applied","2021-09-01","0","Inf","Hrs","0.8400000000","USD","3yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","Asia Pacific (Singapore)","AWS Region","r6g.4xlarge.search","Yes","Memory optimized","16","EBS Only",,"APS1-ESInstance:r6g.4xlarge","ESDomain",,"variable","128","ap-southeast-1","Amazon OpenSearch Service"
"2CXPSQF7EX3BCJ8F","HU7G6KETJZ","2CXPSQF7EX3BCJ8F.HU7G6KETJZ.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r6g.4xlarge.search reserved instance applied","2021-09-01","0","Inf","Hrs","0.5410000000","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","Asia Pacific (Singapore)","AWS Region","r6g.4xlarge.search","Yes","Memory optimized","16","EBS Only",,"APS1-ESInstance:r6g.4xlarge","ESDomain",,"variable","128","ap-southeast-1","Amazon OpenSearch Service"
"2CXPSQF7EX3BCJ8F","HU7G6KETJZ","2CXPSQF7EX3BCJ8F.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2021-09-01",,,"Quantity","4739.379","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","Asia Pacific (Singapore)","AWS Region","r6g.4xlarge.search","Yes","Memory optimized","16","EBS Only",,"APS1-ESInstance:r6g.4xlarge","ESDomain",,"variable","128","ap-southeast-1","Amazon OpenSearch Service"
"2CXPSQF7EX3BCJ8F","JRTCKXETXF","2CXPSQF7EX3BCJ8F.JRTCKXETXF.6YS6EN2CT7","OnDemand","$1.615 per r6g.4xlarge.search instance hour (or partial hour) - APS1","2024-10-01","0","Inf","Hrs","1.6150000000","USD",,,,"Amazon OpenSearch Service Instance","AmazonES","Asia Pacific (Singapore)","AWS Region","r6g.4xlarge.search","Yes","Memory optimized","16","EBS Only",,"APS1-ESInstance:r6g.4xlarge","ESDomain",,"variable","128","ap-southeast-1","Amazon OpenSearch Service"
"2CXPSQF7EX3BCJ8F","NQ3QZPMQV9","2CXPSQF7EX3BCJ8F.NQ3QZPMQV9.6YS6EN2CT7","Reserved","AmazonOpenSearchService, r6g.4xlarge.search reserved instance applied","2021-09-01","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","Asia Pacific (Singapore)","AWS Region","r6g.4xlarge.search","Yes","Memory optimized","16","EBS Only",,"APS1-ESInstance:r6g.4xlarge","ESDomain",,"variable","128","ap-southeast-1","Amazon OpenSearch Service"
