"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Storage","Storage Media","usageType","operation","Compute type","ECU","Memory (GiB)","Region Code","serviceName"
"234KBGMU339Q24YE","38NPMPTW36","234KBGMU339Q24YE.38NPMPTW36.6YS6EN2CT7","Reserved","AmazonOpenSearchService, im4gn.2xlarge.search reserved instance applied","2023-10-01","0","Inf","Hrs","0.2730000000","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
"234KBGMU339Q24YE","38NPMPTW36","234KBGMU339Q24YE.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2023-10-01",,,"Quantity","7170.498","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
"234KBGMU339Q24YE","4NA7Y494T4","234KBGMU339Q24YE.4NA7Y494T4.6YS6EN2CT7","Reserved","AmazonOpenSearchService, im4gn.2xlarge.search reserved instance applied","2023-10-01","0","Inf","Hrs","0.7530000000","USD","1yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
"234KBGMU339Q24YE","6QCMYABX3D","234KBGMU339Q24YE.6QCMYABX3D.6YS6EN2CT7","Reserved","AmazonOpenSearchService, im4gn.2xlarge.search reserved instance applied","2023-10-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
"234KBGMU339Q24YE","6QCMYABX3D","234KBGMU339Q24YE.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2023-10-01",,,"Quantity","6214.432","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
"234KBGMU339Q24YE","BPH4J8HBKS","234KBGMU339Q24YE.BPH4J8HBKS.6YS6EN2CT7","Reserved","AmazonOpenSearchService, im4gn.2xlarge.search reserved instance applied","2023-10-01","0","Inf","Hrs","0.5680000000","USD","3yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
"234KBGMU339Q24YE","HU7G6KETJZ","234KBGMU339Q24YE.HU7G6KETJZ.6YS6EN2CT7","Reserved","AmazonOpenSearchService, im4gn.2xlarge.search reserved instance applied","2023-10-01","0","Inf","Hrs","0.3660000000","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
"234KBGMU339Q24YE","HU7G6KETJZ","234KBGMU339Q24YE.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2023-10-01",,,"Quantity","3202.822","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
"234KBGMU339Q24YE","JRTCKXETXF","234KBGMU339Q24YE.JRTCKXETXF.6YS6EN2CT7","OnDemand","USD $1.091/Hr im4gn.2xlarge.search - USE1","2024-10-01","0","Inf","Hrs","1.0910000000","USD",,,,"Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
"234KBGMU339Q24YE","NQ3QZPMQV9","234KBGMU339Q24YE.NQ3QZPMQV9.6YS6EN2CT7","Reserved","AmazonOpenSearchService, im4gn.2xlarge.search reserved instance applied","2023-10-01","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US East (N. Virginia)","AWS Region","im4gn.2xlarge.search","Yes","Storage optimized","8","1 x 3750 SSD",,"ESInstance:im4gn.2xlarge","ESDomain",,"27","32","us-east-1","Amazon OpenSearch Service"
