"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Storage","Storage Media","usageType","operation","Compute type","ECU","Memory (GiB)","Region Code","serviceName"
"2D8Y2HAWBJAUY52W","38NPMPTW36","2D8Y2HAWBJAUY52W.38NPMPTW36.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.12xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","1.2550000000","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
"2D8Y2HAWBJAUY52W","38NPMPTW36","2D8Y2HAWBJAUY52W.38NPMPTW36.2TG2D8R56U","Reserved","Upfront Fee","2023-11-01",,,"Quantity","32981.4","USD","3yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
"2D8Y2HAWBJAUY52W","4NA7Y494T4","2D8Y2HAWBJAUY52W.4NA7Y494T4.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.12xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","3.4640000000","USD","1yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
"2D8Y2HAWBJAUY52W","6QCMYABX3D","2D8Y2HAWBJAUY52W.6QCMYABX3D.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.12xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","0.0000000000","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
"2D8Y2HAWBJAUY52W","6QCMYABX3D","2D8Y2HAWBJAUY52W.6QCMYABX3D.2TG2D8R56U","Reserved","Upfront Fee","2023-11-01",,,"Quantity","28583.88","USD","1yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
"2D8Y2HAWBJAUY52W","BPH4J8HBKS","2D8Y2HAWBJAUY52W.BPH4J8HBKS.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.12xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","2.6100000000","USD","3yr","No Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
"2D8Y2HAWBJAUY52W","HU7G6KETJZ","2D8Y2HAWBJAUY52W.HU7G6KETJZ.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.12xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","1.6820000000","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
"2D8Y2HAWBJAUY52W","HU7G6KETJZ","2D8Y2HAWBJAUY52W.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2023-11-01",,,"Quantity","14734.32","USD","1yr","Partial Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
"2D8Y2HAWBJAUY52W","JRTCKXETXF","2D8Y2HAWBJAUY52W.JRTCKXETXF.6YS6EN2CT7","OnDemand","$ 5.02 per or1.12xlarge.search instance hour (or partial hour) - USW2","2024-10-01","0","Inf","Hrs","5.0200000000","USD",,,,"Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
"2D8Y2HAWBJAUY52W","NQ3QZPMQV9","2D8Y2HAWBJAUY52W.NQ3QZPMQV9.6YS6EN2CT7","Reserved","AmazonOpenSearchService, or1.12xlarge.search reserved instance applied","2023-11-01","0","Inf","Hrs","0.0000000000","USD","3yr","All Upfront","standard","Amazon OpenSearch Service Instance","AmazonES","US West (Oregon)","AWS Region","or1.12xlarge.search","Yes","OR1","48","EBS Only",,"USW2-ESInstance:or1.12xlarge","ESDomain",,"N/A","384","us-west-2","Amazon OpenSearch Service"
